period_start,period_end,namespace,persistentvolumeclaim_usage_bytes
2020-02-05 23:00:00 +0000 UTC,2020-02-06 00:00:00 +0000 UTC,openshift-logging,7260508061696.000000
2020-02-05 23:00:00 +0000 UTC,2020-02-06 00:00:00 +0000 UTC,openshift-metering,1672921088.000000
2020-02-06 00:00:00 +0000 UTC,2020-02-06 01:00:00 +0000 UTC,openshift-logging,7296483028992.000000
2020-02-06 00:00:00 +0000 UTC,2020-02-06 01:00:00 +0000 UTC,openshift-metering,1730863104.000000
2020-02-06 01:00:00 +0000 UTC,2020-02-06 02:00:00 +0000 UTC,openshift-logging,7373094805504.000000
2020-02-06 01:00:00 +0000 UTC,2020-02-06 02:00:00 +0000 UTC,openshift-metering,1738883072.000000
2020-02-06 02:00:00 +0000 UTC,2020-02-06 03:00:00 +0000 UTC,openshift-logging,7436046270464.000000
2020-02-06 02:00:00 +0000 UTC,2020-02-06 03:00:00 +0000 UTC,openshift-metering,1740095488.000000
2020-02-06 03:00:00 +0000 UTC,2020-02-06 04:00:00 +0000 UTC,openshift-logging,7500706955264.000000
2020-02-06 03:00:00 +0000 UTC,2020-02-06 04:00:00 +0000 UTC,openshift-metering,1741209600.000000
2020-02-06 04:00:00 +0000 UTC,2020-02-06 05:00:00 +0000 UTC,openshift-logging,7567980527616.000000
2020-02-06 04:00:00 +0000 UTC,2020-02-06 05:00:00 +0000 UTC,openshift-metering,1781211136.000000
2020-02-06 05:00:00 +0000 UTC,2020-02-06 06:00:00 +0000 UTC,openshift-logging,7636200341504.000000
2020-02-06 05:00:00 +0000 UTC,2020-02-06 06:00:00 +0000 UTC,openshift-metering,1804369920.000000
2020-02-06 06:00:00 +0000 UTC,2020-02-06 07:00:00 +0000 UTC,openshift-logging,7713446068224.000000
2020-02-06 06:00:00 +0000 UTC,2020-02-06 07:00:00 +0000 UTC,openshift-metering,1804369920.000000
2020-02-06 07:00:00 +0000 UTC,2020-02-06 08:00:00 +0000 UTC,openshift-logging,7770969079808.000000
2020-02-06 07:00:00 +0000 UTC,2020-02-06 08:00:00 +0000 UTC,openshift-metering,1804369920.000000
2020-02-06 08:00:00 +0000 UTC,2020-02-06 09:00:00 +0000 UTC,openshift-logging,7834669236224.000000
2020-02-06 08:00:00 +0000 UTC,2020-02-06 09:00:00 +0000 UTC,openshift-metering,1829634048.000000
2020-02-06 09:00:00 +0000 UTC,2020-02-06 10:00:00 +0000 UTC,openshift-logging,7879459045376.000000
2020-02-06 09:00:00 +0000 UTC,2020-02-06 10:00:00 +0000 UTC,openshift-metering,1867530240.000000
2020-02-06 10:00:00 +0000 UTC,2020-02-06 11:00:00 +0000 UTC,openshift-logging,8059402715136.000000
2020-02-06 10:00:00 +0000 UTC,2020-02-06 11:00:00 +0000 UTC,openshift-metering,1867530240.000000
2020-02-06 11:00:00 +0000 UTC,2020-02-06 12:00:00 +0000 UTC,openshift-logging,8061807583232.000000
2020-02-06 11:00:00 +0000 UTC,2020-02-06 12:00:00 +0000 UTC,openshift-metering,1867530240.000000
2020-02-06 12:00:00 +0000 UTC,2020-02-06 13:00:00 +0000 UTC,openshift-logging,8143032614912.000000
2020-02-06 12:00:00 +0000 UTC,2020-02-06 13:00:00 +0000 UTC,openshift-metering,1880162304.000000
2020-02-06 13:00:00 +0000 UTC,2020-02-06 14:00:00 +0000 UTC,openshift-logging,8186174603264.000000
2020-02-06 13:00:00 +0000 UTC,2020-02-06 14:00:00 +0000 UTC,openshift-metering,1930690560.000000
2020-02-06 14:00:00 +0000 UTC,2020-02-06 15:00:00 +0000 UTC,openshift-logging,8235409477632.000000
2020-02-06 14:00:00 +0000 UTC,2020-02-06 15:00:00 +0000 UTC,openshift-metering,1930690560.000000
2020-02-06 15:00:00 +0000 UTC,2020-02-06 16:00:00 +0000 UTC,openshift-logging,8261768933376.000000
2020-02-06 15:00:00 +0000 UTC,2020-02-06 16:00:00 +0000 UTC,openshift-metering,1930690560.000000
2020-02-06 16:00:00 +0000 UTC,2020-02-06 17:00:00 +0000 UTC,openshift-logging,8297051217920.000000
2020-02-06 16:00:00 +0000 UTC,2020-02-06 17:00:00 +0000 UTC,openshift-metering,1930690560.000000
2020-02-06 17:00:00 +0000 UTC,2020-02-06 18:00:00 +0000 UTC,openshift-logging,8343781863424.000000
2020-02-06 17:00:00 +0000 UTC,2020-02-06 18:00:00 +0000 UTC,openshift-metering,1993850880.000000
2020-02-06 18:00:00 +0000 UTC,2020-02-06 19:00:00 +0000 UTC,openshift-logging,8432929144832.000000
2020-02-06 18:00:00 +0000 UTC,2020-02-06 19:00:00 +0000 UTC,openshift-metering,1993850880.000000
2020-02-06 19:00:00 +0000 UTC,2020-02-06 20:00:00 +0000 UTC,openshift-logging,8494411186176.000000
2020-02-06 19:00:00 +0000 UTC,2020-02-06 20:00:00 +0000 UTC,openshift-metering,1993850880.000000
2020-02-06 20:00:00 +0000 UTC,2020-02-06 21:00:00 +0000 UTC,openshift-logging,8542053634048.000000
2020-02-06 20:00:00 +0000 UTC,2020-02-06 21:00:00 +0000 UTC,openshift-metering,1993850880.000000
2020-02-06 21:00:00 +0000 UTC,2020-02-06 22:00:00 +0000 UTC,openshift-logging,8619990159360.000000
2020-02-06 21:00:00 +0000 UTC,2020-02-06 22:00:00 +0000 UTC,openshift-metering,2041221120.000000
2020-02-06 22:00:00 +0000 UTC,2020-02-06 23:00:00 +0000 UTC,openshift-logging,8686622060544.000000
2020-02-06 22:00:00 +0000 UTC,2020-02-06 23:00:00 +0000 UTC,openshift-metering,2057011200.000000
2020-02-06 23:00:00 +0000 UTC,2020-02-07 00:00:00 +0000 UTC,openshift-logging,8769895620608.000000
2020-02-06 23:00:00 +0000 UTC,2020-02-07 00:00:00 +0000 UTC,openshift-metering,2057011200.000000
2020-02-07 00:00:00 +0000 UTC,2020-02-07 01:00:00 +0000 UTC,openshift-logging,8779804237824.000000
2020-02-07 00:00:00 +0000 UTC,2020-02-07 01:00:00 +0000 UTC,openshift-metering,2059583488.000000
2020-02-07 01:00:00 +0000 UTC,2020-02-07 02:00:00 +0000 UTC,openshift-logging,8851469496320.000000
2020-02-07 01:00:00 +0000 UTC,2020-02-07 02:00:00 +0000 UTC,openshift-metering,2116276224.000000
2020-02-07 02:00:00 +0000 UTC,2020-02-07 03:00:00 +0000 UTC,openshift-logging,8915247325184.000000
2020-02-07 02:00:00 +0000 UTC,2020-02-07 03:00:00 +0000 UTC,openshift-metering,2125086720.000000
2020-02-07 03:00:00 +0000 UTC,2020-02-07 04:00:00 +0000 UTC,openshift-logging,8984844660736.000000
2020-02-07 03:00:00 +0000 UTC,2020-02-07 04:00:00 +0000 UTC,openshift-metering,2125086720.000000
2020-02-07 04:00:00 +0000 UTC,2020-02-07 05:00:00 +0000 UTC,openshift-logging,9048811577344.000000
2020-02-07 04:00:00 +0000 UTC,2020-02-07 05:00:00 +0000 UTC,openshift-metering,2125086720.000000
2020-02-07 05:00:00 +0000 UTC,2020-02-07 06:00:00 +0000 UTC,openshift-logging,9106576658432.000000
2020-02-07 05:00:00 +0000 UTC,2020-02-07 06:00:00 +0000 UTC,openshift-metering,1769455616.000000
2020-02-07 06:00:00 +0000 UTC,2020-02-07 07:00:00 +0000 UTC,openshift-logging,9179623641088.000000
2020-02-07 06:00:00 +0000 UTC,2020-02-07 07:00:00 +0000 UTC,openshift-metering,1620049920.000000
2020-02-07 07:00:00 +0000 UTC,2020-02-07 08:00:00 +0000 UTC,openshift-logging,9245403176960.000000
2020-02-07 07:00:00 +0000 UTC,2020-02-07 08:00:00 +0000 UTC,openshift-metering,1620049920.000000
2020-02-07 08:00:00 +0000 UTC,2020-02-07 09:00:00 +0000 UTC,openshift-logging,9306746421248.000000
2020-02-07 08:00:00 +0000 UTC,2020-02-07 09:00:00 +0000 UTC,openshift-metering,1620049920.000000
2020-02-07 09:00:00 +0000 UTC,2020-02-07 10:00:00 +0000 UTC,openshift-logging,9441608388608.000000
2020-02-07 09:00:00 +0000 UTC,2020-02-07 10:00:00 +0000 UTC,openshift-metering,1647419392.000000
2020-02-07 10:00:00 +0000 UTC,2020-02-07 11:00:00 +0000 UTC,openshift-logging,9545896202240.000000
2020-02-07 10:00:00 +0000 UTC,2020-02-07 11:00:00 +0000 UTC,openshift-metering,1683210240.000000
2020-02-07 11:00:00 +0000 UTC,2020-02-07 12:00:00 +0000 UTC,openshift-logging,9533000769536.000000
2020-02-07 11:00:00 +0000 UTC,2020-02-07 12:00:00 +0000 UTC,openshift-metering,1683210240.000000
2020-02-07 12:00:00 +0000 UTC,2020-02-07 13:00:00 +0000 UTC,openshift-logging,9569987792896.000000
2020-02-07 12:00:00 +0000 UTC,2020-02-07 13:00:00 +0000 UTC,openshift-metering,1683210240.000000
2020-02-07 13:00:00 +0000 UTC,2020-02-07 14:00:00 +0000 UTC,openshift-logging,9644365791232.000000
2020-02-07 13:00:00 +0000 UTC,2020-02-07 14:00:00 +0000 UTC,openshift-metering,1701105664.000000
